phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
Rb_mean.i,1_3354818,1,1.111294064,0,108.5,2.0966838067055704,3.355,3.272,197.892,194.62,2.067
Rb_leaf.i,1_3354818,1,1.5,0,83,2.2511258616544865,3.355,3.272,92.228,88.95599999999999,2.098
As_seed.i,1_9430289,1,18,11,166.5,2.803173727661516,9.43,5.722,280.701,274.97900000000004,2.446
Al_leaf.i,1_10541301,1,21,14,56.5,2.870966342717935,10.541,7.862,40.361,32.498999999999995,2.187
Al_mean.i,1_10541301,1,21,14,58,2.925248058288645,10.541,7.862,40.361,32.498999999999995,2.258
As_mean.i,1_15067244,1,30.0879921,0,33,3.157510485888807,15.067,3.272,17.842,14.569999999999999,2.614
Ni_mean.i,1_16177692,1,31.72058753,16,99.5,2.6112294373995155,16.178,7.862,191.547,183.685,2.156
Ni_seed.i,1_16177692,1,31.72058753,15,176,2.384768885233129,16.178,7.862,287.135,279.27299999999997,2.159
K_ratio.i,1_21983964,1,37,25.5,193.2747394,2.3058508699197233,21.984,10.541,295.969,285.428,2.199
Mn_seed.i,1_32606310,1,47,35,53.5,2.3066062328746995,32.606,17.962,38.208,20.246,2.199
Ca_leaf.i,1_32606310,1,47.9780197,31.5,98,2.5769968553999547,32.606,16.178,187.415,171.237,2.151
Ca_mean.i,1_32606310,1,47.9780197,31.72058753,97.20329804,2.5788198656936743,32.606,16.178,187.415,171.237,2.17
Sr_leaf.i,1_32606310,1,48,0,103.5860784,2.4553000109197285,32.606,3.272,195.025,191.75300000000001,2.28
Sr_mean.i,1_32606310,1,48,0,103.5860784,2.4628064321850047,32.606,3.272,195.025,191.75300000000001,2.272
Se_leaf.i,1_38255164,1,55.5,1,88,2.7458468259762014,38.255,3.355,112.415,109.06,2.699
Se_mean.i,1_38255164,1,55.5,26.5,77.5,2.4154401912711876,38.255,15.067,80.063,64.99600000000001,2.242
S_ratio.f,1_45009471,1,59.03643016,53,66,5.02422017838191,45.009,34.941,51.321,16.379999999999995,4.608
Sr_ratio.f,1_53680816,1,67.64618768,56,68.5,7.024158576224238,53.681,40.361,56.163,15.802,6.057
Ca_ratio.i,1_183811347,1,96.5,80.5,103,2.901649881006449,183.811,87.17,194.835,107.665,2.206
