phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
S_ratio,1_45009471,1,59.03643016,53,66,5.02422017838191,45.009,34.941,51.321,16.379999999999995,4.608
Sr_ratio,1_53680816,1,67.64618768,56,68.5,7.024158576224238,53.681,40.361,56.163,15.802,6.057
P_mean,1_236039725,1,131.5597426,124.5,140,5.907046834228424,236.04,219.824,252.86,33.036,4.859
Cd_leaf,2_64908160,2,57.80311193,46,65.66997644,7.236723308105084,64.908,31.829,165.893,134.064,4.625
Cd_mean,2_64908160,2,57.80311193,55.57788167,59.28478314,9.005112973164017,64.908,60.907,81.073,20.165999999999997,4.594
Cd_seed,2_73588220,2,58.91440599,53.20428791,62,7.755298945263405,73.588,55.845,144.708,88.863,4.954
K_ratio,3_218348206,3,129,111.5,146.5,6.2526123652882575,218.348,208.354,227.217,18.863,4.685
Fe_ratio,5_77302200,5,60.60699645,52.51339597,67,5.253113066536088,77.302,29.728,146.885,117.15699999999998,5.118
Al_ratio,5_198627160,5,96.92225984,96,112,6.141243071363334,198.627,196.156,205.564,9.407999999999987,5.397
P_ratio,7_138499631,7,59.5,57,66,5.029854744018184,138.5,134.881,143.431,8.550000000000011,4.619
As_seed,8_170569687,8,113.5,36.5,126,5.096306727516549,170.57,16.347,173.616,157.269,4.937
Ni_mean,9_2485561,9,0.5,0,5,10.55366883291245,2.486,2.486,5.321,2.8349999999999995,4.564
Ni_ratio,9_3654090,9,2.003836085,0,4,7.3969534005499895,3.654,2.486,4.291,1.8050000000000002,5.307
Ni_seed,9_4290807,9,2.5,0,4.5,11.996507034738926,4.291,2.486,5.321,2.8349999999999995,4.567
Na_leaf,9_134175873,9,64,57.5,71.5,6.258131167938728,134.176,118.966,139.231,20.265,4.922
Na_mean,9_134175873,9,64,57.5,71.5,6.081833524073744,134.176,118.966,139.231,20.265,4.813
Sr_seed,9_146412013,9,94.62873448,82.5,104,4.670904962083174,146.412,142.192,149.693,7.501000000000005,4.575
