phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
As_ratio.i,1_3271520,1,0.5,0,193.2747394,2.2350203514747875,3.272,3.272,295.969,292.697,1.844
Rb_leaf.i,1_3354818,1,1.5,0,83,2.2511258616544865,3.355,3.272,92.228,88.95599999999999,1.772
As_seed.i,1_9430289,1,18,11,166.5,2.803173727661516,9.43,5.722,280.701,274.97900000000004,2.168
Al_leaf.i,1_10541301,1,21,14,56.5,2.870966342717935,10.541,7.862,40.361,32.498999999999995,1.916
As_leaf.i,1_15067244,1,30.0879921,0,49.5,2.5421665833637803,15.067,3.272,33.004,29.732,2.247
Cu_seed.i,1_15067244,1,30.0879921,10,164.5,2.1751260388826807,15.067,5.722,279.48,273.75800000000004,1.865
Ni_seed.i,1_16177692,1,31.72058753,15,176,2.384768885233129,16.178,7.862,287.135,279.27299999999997,1.886
K_ratio.i,1_21983964,1,37,25.5,193.2747394,2.3058508699197233,21.984,10.541,295.969,285.428,1.963
Mn_seed.i,1_32606310,1,47,35,53.5,2.3066062328746995,32.606,17.962,38.208,20.246,1.94
Ca_leaf.i,1_32606310,1,47.9780197,31.5,98,2.5769968553999547,32.606,16.178,187.415,171.237,1.869
Sr_leaf.i,1_32606310,1,48,0,103.5860784,2.4553000109197285,32.606,3.272,195.025,191.75300000000001,1.96
Se_leaf.i,1_38255164,1,55.5,1,88,2.7458468259762014,38.255,3.355,112.415,109.06,2.313
S_ratio.f,1_45009471,1,59.03643016,53,66,5.02422017838191,45.009,34.941,51.321,16.379999999999995,4.658
Sr_ratio.f,1_53680816,1,67.64618768,56,68.5,7.024158576224238,53.681,40.361,56.163,15.802,6.043
Ca_ratio.i,1_183811347,1,96.5,80.5,103,2.901649881006449,183.811,87.17,194.835,107.665,1.87
Mg_seed.i,1_224145093,1,126.6591357,0,193.2747394,1.9199046693534,224.145,3.272,295.969,292.697,1.793
Zn_ratio.i,1_250260813,1,138.6852353,125,192,2.6952547524382027,250.261,219.824,295.969,76.14499999999998,2.27
Zn_leaf.i,1_253435180,1,141.5,108.5,157,3.0272529656398888,253.435,197.892,273.394,75.50200000000001,1.952
B_leaf.i,1_263275976,1,151.9118999,1.5,159.5,2.311345761743951,263.276,3.355,273.964,270.609,2.15
Co_ratio.i,1_270476577,1,156.5,0,191,2.0222412925148774,270.477,3.272,294.974,291.702,1.955
Zn_seed.i,1_285288568,1,172.7012894,162.5325334,177,3.296188265743581,285.289,276.485,289.307,12.822000000000003,1.892
Cu_leaf.i,1_287134813,1,174.5535818,56,190,2.4802770684620015,287.135,40.361,294.974,254.613,1.968
Al_seed.i,1_287134813,1,175,4.5,188.5,1.9259503554857496,287.135,3.355,292.751,289.39599999999996,1.861
B_leaf.i,10_4697245,10,11.5,0,20.5,2.7438042130085876,4.697,1.418,5.879,4.460999999999999,2.15
Mo_seed.i,10_4697245,10,11.5,0,101.6837822,2.526223234721833,4.697,1.418,147.963,146.545,2.044
B_ratio.i,10_5879336,10,20,0,56.5,2.5101528369497714,5.879,1.418,131.066,129.648,2.131
Mg_leaf.i,10_6660268,10,27.04712874,9,101,2.3729002784170348,6.66,4.697,147.963,143.266,1.923
B_seed.i,10_9916580,10,30.53219168,22.5,101.6837822,3.3493015814331253,9.917,5.879,147.963,142.084,1.816
P_ratio.i,10_16507081,10,40,0,80,2.1519526776677473,16.507,1.418,140.777,139.35899999999998,1.97
P_leaf.i,10_77201723,10,44.02730207,0,100,2.2780285448853306,77.202,1.418,146.747,145.329,2.149
Zn_seed.i,10_113523477,10,49.3676002,16,101,1.955691420379594,113.523,4.697,147.963,143.266,1.892
Mo_leaf.i,10_123705665,10,50,40,101.6837822,2.084527569193167,123.706,16.507,147.963,131.456,2.015
K_ratio.i,10_127283719,10,51.5,0,101.6837822,2.063691513512012,127.284,1.418,147.963,146.545,1.963
Na_seed.i,10_127283719,10,52.11186821,17,65.5,2.233918359021141,127.284,4.697,136.984,132.287,1.969
Al_seed.i,10_143871843,10,88.48484981,3.5,101.5,2.5770450285902697,143.872,1.418,147.963,146.545,1.861
Sr_seed.i,2_3396230,2,1,0,13,3.1245436574411976,3.396,3.117,9.985,6.867999999999999,1.976
Ca_seed.i,2_4377056,2,2.5,0,112.5,3.1154774428882206,4.377,3.117,224.308,221.191,2.273
Ca_ratio.i,2_4377056,2,3,0,17,2.942007123741803,4.377,3.117,9.985,6.867999999999999,1.87
